video_id,user_unique_id,video_create_time,video_digg_count,video_share_count,video_comment_count,video_play_count,hashtag,hashtags,used_proper_hastags,user,status,activate_date,inactive_date,influencer
,,,,,,,,figapp;figpartner;figambassador,,noglutengabby,active,05/01/2022,,False
7.195653323482058e+18,figapp,1675368605,117.0,0.0,1.0,1136.0,,figapp;nyu,True,,,,,
7.194948095640227e+18,figapp,1675204406,24.0,0.0,1.0,424.0,,,True,,,,,
7.194622986505326e+18,figapp,1675128709,28.0,0.0,5.0,522.0,,,True,,,,,
7.193464911857585e+18,figapp,1674859081,54.0,0.0,3.0,976.0,,,True,,,,,
7.193106753893092e+18,figapp,1674775687,93.0,0.0,1.0,1165.0,,,True,,,,,
7.192669238551678e+18,figapp,1674673828,49.0,0.0,0.0,785.0,,,True,,,,,
7.192317938211311e+18,figapp,1674592035,56.0,0.0,2.0,913.0,,foodallergies;dietaryrestrictions;lowfodmap;glutenfree;dairyfree;vegan,True,,,,,
7.19231223869324e+18,figapp,1674590705,181.0,0.0,4.0,1781.0,,nyu;foodallergies,True,,,,,
7.191887958151089e+18,figapp,1674491931,147.0,1.0,4.0,1941.0,,,True,,,,,
7.19091272471572e+18,figapp,1674264849,283.0,1.0,6.0,4491.0,,,True,,,,,
7.190542618164563e+18,figapp,1674178675,283.0,0.0,1.0,3919.0,,,True,,,,,
7.189665654826388e+18,figapp,1673974508,154.0,0.0,6.0,2038.0,,capcut,True,,,,,
7.189661151314054e+18,figapp,1673973464,561.0,0.0,9.0,8213.0,,,True,,,,,
7.188166594328104e+18,figapp,1673625465,106.0,0.0,4.0,1942.0,,,True,,,,,
7.187859223403875e+18,figapp,1673553899,119.0,0.0,5.0,2236.0,,,True,,,,,
7.187120203107601e+18,figapp,1673381842,878.0,1.0,6.0,9559.0,,,True,,,,,
7.186694140493598e+18,figapp,1673282655,34.0,1.0,2.0,895.0,,stitch,True,,,,,
7.183458430386982e+18,figapp,1672529262,24.0,0.0,2.0,1143.0,,,True,,,,,
7.182989871311687e+18,figapp,1672420171,611.0,1.0,7.0,7313.0,,,True,,,,,
7.181844485263937e+18,figapp,1672153505,334.0,0.0,3.0,4174.0,,,True,,,,,
7.180035253866663e+18,figapp,1671732243,101.0,0.0,3.0,2626.0,,dietaryrestrictions;foodallergies;figapp,True,,,,,
7.179724450877935e+18,figapp,1671659876,428.0,1.0,3.0,5619.0,,,True,,,,,
7.178925436951334e+18,figapp,1671473845,111.0,1.0,14.0,2935.0,,,True,,,,,
7.177797539457011e+18,figapp,1671211236,179.0,4.0,5.0,4480.0,,,True,,,,,
7.177397369737072e+18,figapp,1671118060,729.0,3.0,13.0,15800.0,,,True,,,,,
7.176646815931207e+18,figapp,1670943311,22900.0,22.0,84.0,335800.0,,,True,,,,,
7.174071559559171e+18,figapp,1670343730,565.0,1.0,5.0,9392.0,,,True,,,,,
7.172628812629364e+18,figapp,1670007794,381.0,1.0,5.0,7878.0,,,True,,,,,
7.171889197207293e+18,figapp,1669835602,384.0,1.0,6.0,4081.0,,,True,,,,,
7.169594571012263e+18,figapp,1669301341,151.0,3.0,5.0,3113.0,,,True,,,,,
,,,,,,,,,,figapp,active,1/1/2022,,False
,,,,,,,,figpartner,,theallergicgirl,active,1/1/2022,,True
,,,,,,,,,,tylerandhistummy,active,1/1/2020,,False
,,,,,,,,,,thefigapp,active,8/1/2022,,False
,,,,,,,,,,glutenfreefig,active,1/1/2023,,False
,,,,,,,,figapp;figpartner;figambassador,,maliaglutenfree,active,7/15/2022,,True
,,,,,,,,figapp;figpartner;figambassador,,onmollysplate,active,12/15/2022,,True
,,,,,,,,figapp;figpartner;figambassador,,mommakessafefood,active,12/15/2022,,True
,,,,,,,,figapp;figpartner;figambassador,,mccarolynn,active,12/15/2022,,True
,,,,,,,,figapp;figpartner;figambassador,,danielle.shesfun,active,12/15/2022,,True
,,,,,,,,figapp;figpartner;figambassador,,noglutengabby,active,05/01/2022,,False
