video_id,user_unique_id,video_create_time,video_digg_count,video_share_count,video_comment_count,video_play_count,hashtags,used_proper_hastags,data_date
7209149696072289579,tytheproductguy,2023-03-11 05:02:58,331,73,10,7019,ai;aitools;artificialintelligence;sidehustleideas;durablepartner,False,2023-03-19
7207465158858313003,tytheproductguy,2023-03-06 16:06:18,803,151,1,12300,ai;aitools;artificialintelligence;TechTokTips,False,2023-03-19
7205983976115146027,tytheproductguy,2023-03-02 16:18:19,69,15,0,2045,ai;aitools;artificialintelligence;TechTokTips,False,2023-03-19

