video_id,user_unique_id,video_create_time,video_digg_count,video_share_count,video_comment_count,video_play_count,hashtags,used_proper_hastags,data_date
7207525621466090798,figapp,1678132849,181,0,6,1097,ibs;lowfodmap,True,2023-03-06
7206409728879119658,figapp,1677873027,236,0,2,3009,,True,2023-03-06
7205645890764246314,figapp,1677695185,99,0,0,806,,True,2023-03-06
7204931305002306862,figapp,1677528803,144,0,4,1257,figapp;cornallergy,True,2023-03-06
7203739636470992171,figapp,1677251349,588,1,7,6151,foodallergies;figapp,True,2023-03-06
7203485572415933739,figapp,1677192190,24,2,3,524,glutenfree,True,2023-03-06
7202708096093916458,figapp,1677011172,403,0,3,4639,foodallergies,True,2023-03-06
7202327518089612590,figapp,1676922566,75,1,4,1449,,True,2023-03-06
7200837947170622763,figapp,1676575746,63,0,0,1404,,True,2023-03-06
7200442519761505582,figapp,1676483680,160,1,1,2227,,True,2023-03-06
7200103443355241770,figapp,1676404739,231,0,2,3564,,True,2023-03-06
7199717473611091246,figapp,1676314885,46,0,2,878,stitch;everyingredient,True,2023-03-06
7199714505797143854,figapp,1676314195,134,0,5,1802,,True,2023-03-06
7198666343514639659,figapp,1676070130,136,0,1,2027,,True,2023-03-06
7197520031855496490,figapp,1675803231,80,0,4,2073,dietaryrestrictions;foodallergies,True,2023-03-06
7197518628407840043,figapp,1675802903,83,1,2,1683,,True,2023-03-06
7197516969770487086,figapp,1675802521,80,0,2,1169,,True,2023-03-06
7195653323482058026,figapp,1675368605,152,0,2,1848,figapp;nyu,True,2023-03-06
7194948095640227114,figapp,1675204406,49,0,1,914,,True,2023-03-06
7194622986505325870,figapp,1675128709,33,0,6,849,,True,2023-03-06
7193464911857585450,figapp,1674859081,61,0,3,1222,,True,2023-03-06
7193106753893092654,figapp,1674775687,106,0,2,1460,,True,2023-03-06
7192669238551678250,figapp,1674673828,60,0,0,1025,,True,2023-03-06
7192317938211310890,figapp,1674592035,60,0,2,1137,foodallergies;dietaryrestrictions;lowfodmap;glutenfree;dairyfree;vegan,True,2023-03-06
7192312238693240107,figapp,1674590705,200,0,4,2204,nyu;foodallergies,True,2023-03-06
7191887958151089450,figapp,1674491931,152,1,4,2164,,True,2023-03-06
7190912724715719982,figapp,1674264849,296,1,6,4845,,True,2023-03-06
7190542618164563242,figapp,1674178675,289,0,1,4198,,True,2023-03-06
